code,industry,pe,pb,ps
sh600019,钢铁,11.797822,0.574019,0.371736
sh600282,钢铁,10.082525,1.03087,0.501235
sh600295,钢铁,11.964024,1.362145,1.177763
sh600382,钢铁,25.501872,1.535997,4.831099
sh600507,钢铁,11.539159,0.899164,0.515982
sh601003,钢铁,21.115929,0.976079,0.135229
sh601121,钢铁,36.990438,1.329122,3.631861
sh601686,钢铁,10.708447,1.08425,0.145093
sh601969,钢铁,35.074157,2.365336,3.740583
sh603878,钢铁,94.93205,1.163522,1.394818
sh603995,钢铁,15.47207,1.492785,0.204634
sz000655,钢铁,15.626549,1.124163,2.341387
sz000708,钢铁,11.117083,1.509433,0.62908
sz000709,钢铁,19.109318,0.401218,0.178628
sz000778,钢铁,15.303945,0.578445,0.40019
sz000923,钢铁,17.935466,0.828662,1.510267
sz000932,钢铁,11.165313,0.449149,0.207409
sz000959,钢铁,29.534117,0.493629,0.244694
sz001203,钢铁,72.890597,6.642132,12.255401
sz002075,钢铁,30.785227,1.163138,0.600232
sz002318,钢铁,15.429164,2.563539,2.086989
sz002443,钢铁,34.072604,1.472239,1.195396
sz300881,钢铁,18.369665,3.598804,1.377786
sz301160,钢铁,42.400709,4.635258,5.66396
sh600197,白酒,26.242882,1.167134,3.030964
sh600519,白酒,18.318588,5.593419,8.642933
sh600559,白酒,24.499845,1.98115,2.599251
sh600702,白酒,114.541684,1.736779,2.872101
sh600779,白酒,37.335003,2.731524,4.986755
sh600809,白酒,12.233744,2.983857,3.619253
sh603198,白酒,12.246793,2.126619,3.93345
sh603369,白酒,13.124416,1.714498,3.271608
sh603589,白酒,29.191975,1.065191,3.214585
sh603919,白酒,26.802392,2.464858,3.002707
sz000568,白酒,11.598953,2.235867,4.727403
sz000596,白酒,15.168919,1.640996,2.502348
sz000858,白酒,23.103509,2.274439,6.290315
sz002304,白酒,59.589636,1.228928,3.705554
sh600000,银行,5.862304,0.391001,1.688038
sh600015,银行,3.901868,0.329322,1.076186
sh600016,银行,5.014792,0.255621,1.022484
sh600036,银行,6.061248,0.806908,2.68171
sh600908,银行,4.981872,0.50089,2.387071
sh600919,银行,5.790822,0.77376,2.276075
sh600926,银行,5.548321,0.778078,2.777521
sh600928,银行,5.659043,0.424775,1.409878
sh601009,银行,5.771873,0.684065,2.239775
sh601077,银行,5.835995,0.528723,2.457379
sh601128,银行,4.96826,0.672956,1.824134
sh601166,银行,4.625493,0.431956,1.689853
sh601169,银行,5.143501,0.372291,1.496334
sh601187,银行,7.201219,0.708469,3.134049
sh601229,银行,5.212232,0.499956,2.282629
sh601288,银行,7.432658,0.773863,2.936545
sh601328,银行,6.039884,0.500176,2.170275
sh601398,银行,6.900718,0.649945,2.994115
sh601528,银行,4.536438,0.441182,2.039758
sh601577,银行,4.430367,0.49434,1.410794
sh601658,银行,6.695937,0.569986,1.623233
sh601665,银行,6.137598,0.716562,2.675559
sh601818,银行,4.702348,0.352539,1.42237
sh601825,银行,6.323497,0.5925,3.006541
sh601838,银行,5.65932,0.82615,3.16868
sh601860,银行,7.343776,0.449464,2.217685
sh601916,银行,6.329525,0.447341,1.31183
sh601939,银行,7.507181,0.723445,3.280727
sh601963,银行,6.643613,0.661492,2.491456
sh601988,银行,7.605793,0.682522,2.775268
sh601997,银行,3.702267,0.296355,1.455298
sh601998,银行,5.642115,0.540887,1.866966
sh603323,银行,4.342963,0.4632,2.12244
sz000001,银行,4.695998,0.435719,1.520259
sz001227,银行,6.383491,0.381194,1.506025
sz002142,银行,6.755642,0.874541,2.752912
sz002807,银行,5.037815,0.519585,2.459038
sz002839,银行,4.979312,0.519127,2.116839
sz002936,银行,7.881785,0.332555,1.185017
sz002948,银行,5.709481,0.731854,2.094339
sz002958,银行,4.869662,0.41097,1.593582
sz002966,银行,5.926942,0.626462,2.553435
sh600633,游戏,22.502657,1.273259,4.07908
sh603444,游戏,12.290211,4.150074,3.60354
sz002517,游戏,15.850307,3.315808,5.543427
sz002555,游戏,13.008501,2.893433,2.716088
sz002558,游戏,21.190832,3.230162,7.922714
sz002602,游戏,16.11974,3.135757,2.484373
sz002605,游戏,16.998628,2.035205,2.936161
sz002624,游戏,43.5202,3.208015,3.981705
sz300002,游戏,19.620127,1.842539,2.441322
sz300031,游戏,49.007522,3.152615,3.529937
sz300043,游戏,13.093201,2.936374,2.71409
sz300113,游戏,30.163386,4.863901,8.828701
sz300533,游戏,18.952371,3.54916,2.141709
